n16,n17,o19,cell-volume,cellnumber,x,y,z
646330000000.0,84544000.0,179510000000.0,3.1034e-08,57508,-0.0090148,-0.25883,0.89402
619940000000.0,80549000.0,176210000000.0,3.1757e-08,57510,-0.010529,-0.25888,0.89065
645550000000.0,84426000.0,179450000000.0,2.6735e-08,57554,-0.0058164,-0.25842,0.89467
637730000000.0,83223000.0,178440000000.0,3.34e-08,57556,-0.014551,-0.25877,0.89098
608690000000.0,78756000.0,174770000000.0,4.0527e-08,57557,-0.014869,-0.25915,0.88695
670090000000.0,88116000.0,182120000000.0,2.6538e-08,57558,-0.016394,-0.25882,0.89461
654130000000.0,85755000.0,180400000000.0,2.2318e-08,57559,-0.01753,-0.25831,0.89221
646650000000.0,84519000.0,179500000000.0,3.038e-08,57642,-0.021131,-0.25881,0.88782
614490000000.0,79747000.0,175380000000.0,2.0756e-08,57643,-0.019051,-0.25743,0.88248
657170000000.0,86200000.0,180770000000.0,2.9238e-08,57644,-0.028158,-0.25907,0.88126
688370000000.0,90801000.0,184320000000.0,8.0779e-09,57697,0.0030757,-0.25792,0.90096
675600000000.0,88736000.0,183240000000.0,2.6731e-08,57698,0.0042246,-0.25844,0.89796
690580000000.0,91105000.0,184740000000.0,1.0341e-08,57699,0.0055455,-0.25826,0.90052
673530000000.0,88750000.0,182740000000.0,2.1986e-08,57701,-0.00069604,-0.25824,0.89896
677280000000.0,89136000.0,183160000000.0,1.6958e-08,57702,0.0017739,-0.25798,0.89916
670830000000.0,88406000.0,182320000000.0,2.5592e-08,57705,-0.0083603,-0.25869,0.89741
655480000000.0,85922000.0,180720000000.0,2.9253e-08,57707,-0.0027393,-0.25849,0.89623
622940000000.0,81048000.0,177520000000.0,2.1751e-08,57720,0.0075046,-0.25757,0.88835
710630000000.0,94136000.0,188130000000.0,9.5153e-09,57726,0.023658,-0.25838,0.89249
708670000000.0,93902000.0,187650000000.0,8.938e-09,57727,0.021283,-0.25815,0.8943
638220000000.0,83358000.0,179190000000.0,1.9837e-08,57734,0.0069847,-0.25721,0.89203
678520000000.0,89474000.0,183470000000.0,9.6667e-09,57735,0.0082934,-0.25644,0.89779
656310000000.0,86077000.0,181050000000.0,1.5478e-08,57736,0.0061905,-0.2568,0.8955
680680000000.0,89624000.0,183780000000.0,1.5372e-08,57737,0.0067762,-0.25774,0.89844
700180000000.0,92782000.0,186430000000.0,7.642e-09,57738,0.018343,-0.25639,0.89452
699090000000.0,92391000.0,186850000000.0,1.4024e-08,57739,0.021611,-0.25776,0.89229
675580000000.0,88909000.0,184150000000.0,1.1087e-08,57740,0.019384,-0.25658,0.89022
700530000000.0,92769000.0,186660000000.0,8.593e-09,57741,0.020059,-0.25639,0.89297
683080000000.0,89857000.0,185330000000.0,1.9009e-08,57742,0.020925,-0.25799,0.88975
706850000000.0,93813000.0,187030000000.0,4.1388e-09,57743,0.017726,-0.25642,0.89651
709110000000.0,94121000.0,187240000000.0,4.3445e-09,57744,0.016914,-0.25829,0.89788
711860000000.0,94518000.0,187750000000.0,3.873e-09,57745,0.020284,-0.25638,0.89505
712470000000.0,94568000.0,187760000000.0,3.6532e-09,57746,0.019447,-0.25796,0.89659
697590000000.0,92387000.0,185700000000.0,4.4152e-09,57748,0.012681,-0.25644,0.89871
704660000000.0,93409000.0,186580000000.0,4.4644e-09,57749,0.014256,-0.25831,0.89906
692620000000.0,91444000.0,185070000000.0,9.0474e-09,57752,0.008344,-0.25831,0.90005
686150000000.0,90659000.0,184400000000.0,7.9685e-09,57755,0.010787,-0.25641,0.89766
693800000000.0,91774000.0,185140000000.0,4.3601e-09,57756,0.0098455,-0.25642,0.89963
701340000000.0,92814000.0,186070000000.0,4.2676e-09,57757,0.011463,-0.25817,0.90009
694380000000.0,92129000.0,185340000000.0,4.0537e-09,57760,0.013081,-0.25559,0.8964
667590000000.0,88044000.0,182330000000.0,6.2417e-09,57761,0.0098554,-0.25577,0.89461
671240000000.0,88602000.0,182960000000.0,6.0338e-09,57762,0.013248,-0.25579,0.89308
649510000000.0,85218000.0,180580000000.0,7.8533e-09,57763,0.01047,-0.25608,0.89075
700060000000.0,92953000.0,186100000000.0,3.8572e-09,57764,0.015759,-0.25556,0.89535
709630000000.0,94338000.0,187140000000.0,2.1651e-09,57765,0.015596,-0.25622,0.89847
717520000000.0,95594000.0,187950000000.0,1.7978e-09,57766,0.015297,-0.25553,0.89782
681080000000.0,90055000.0,184260000000.0,5.0259e-09,57767,0.016709,-0.25567,0.89213
622600000000.0,81073000.0,177160000000.0,1.9193e-08,57768,0.0037377,-0.25735,0.88982
656050000000.0,85987000.0,180860000000.0,1.6198e-08,57769,0.002705,-0.25676,0.89632
632580000000.0,82458000.0,178100000000.0,1.8483e-08,57770,0.0011561,-0.25715,0.8932
640830000000.0,83717000.0,179220000000.0,1.2718e-08,57771,0.0040886,-0.25695,0.89328
618160000000.0,80356000.0,176320000000.0,1.8184e-08,57772,-0.00041882,-0.25735,0.89039
606300000000.0,78653000.0,175050000000.0,1.3011e-08,57773,0.0013789,-0.25734,0.88774
608250000000.0,78920000.0,175920000000.0,2.0579e-08,57774,0.0073229,-0.25758,0.88178
607160000000.0,78865000.0,175560000000.0,1.9845e-08,57775,0.0046465,-0.25731,0.87915
616920000000.0,80143000.0,177390000000.0,1.8891e-08,57776,0.011484,-0.2575,0.87914
628190000000.0,81671000.0,179030000000.0,1.7772e-08,57777,0.015233,-0.25752,0.87945
728570000000.0,96677000.0,191030000000.0,9.0988e-09,57859,0.032569,-0.25828,0.88171
712600000000.0,94223000.0,189230000000.0,1.8852e-08,57860,0.030334,-0.25827,0.88217
712340000000.0,94164000.0,189350000000.0,2.1145e-08,57861,0.031145,-0.25809,0.87959
658610000000.0,85981000.0,183230000000.0,1.7275e-08,57862,0.023032,-0.25726,0.87756
659160000000.0,86135000.0,183040000000.0,1.3414e-08,57863,0.022091,-0.25707,0.88067
645940000000.0,84173000.0,181540000000.0,8.3268e-09,57864,0.020463,-0.2572,0.87681
714860000000.0,94698000.0,188850000000.0,9.6797e-09,57865,0.025738,-0.2584,0.89063
722230000000.0,95769000.0,189980000000.0,7.7106e-09,57868,0.029635,-0.25809,0.88648
706090000000.0,93287000.0,188190000000.0,1.6587e-08,57869,0.027334,-0.25783,0.8863
714960000000.0,94672000.0,189020000000.0,8.6841e-09,57870,0.027856,-0.25841,0.88854
688030000000.0,90692000.0,185870000000.0,8.6741e-09,57875,0.024168,-0.25644,0.88667
674090000000.0,88451000.0,184590000000.0,1.279e-08,57876,0.023482,-0.25675,0.88346
668920000000.0,87739000.0,183780000000.0,9.8525e-09,57877,0.021629,-0.25667,0.8856
696030000000.0,91890000.0,186830000000.0,7.1831e-09,57878,0.025852,-0.25638,0.88534
704410000000.0,93266000.0,187410000000.0,8.7675e-09,57879,0.022591,-0.2564,0.89115
721500000000.0,95807000.0,189360000000.0,4.5693e-09,57880,0.024722,-0.25648,0.8916
710450000000.0,94117000.0,188240000000.0,8.2409e-09,57881,0.024615,-0.25638,0.8896
701680000000.0,92685000.0,187490000000.0,1.4439e-08,57882,0.02584,-0.25782,0.88841
682920000000.0,89982000.0,185120000000.0,8.0616e-09,57883,0.021839,-0.25639,0.88846
714070000000.0,94518000.0,189160000000.0,1.4625e-08,57884,0.029066,-0.2576,0.88429
661770000000.0,86345000.0,184090000000.0,1.8431e-08,57894,0.024635,-0.25741,0.87124
677820000000.0,88854000.0,185530000000.0,1.5918e-08,57895,0.026571,-0.25702,0.87684
664240000000.0,86754000.0,184160000000.0,1.4301e-08,57896,0.024805,-0.25722,0.87462
649810000000.0,84623000.0,182400000000.0,1.7468e-08,57897,0.021871,-0.25742,0.87375
677760000000.0,88946000.0,185240000000.0,1.4452e-08,57898,0.025495,-0.2568,0.88011
733970000000.0,97441000.0,191770000000.0,9.8015e-09,57899,0.033757,-0.2582,0.87914
666990000000.0,87104000.0,184920000000.0,2.4371e-08,57901,0.025428,-0.25756,0.86757
734000000000.0,97509000.0,191720000000.0,9.4787e-09,57902,0.032029,-0.25642,0.87825
703570000000.0,92841000.0,188410000000.0,1.2606e-08,57903,0.029992,-0.25667,0.87571
701300000000.0,92566000.0,187920000000.0,1.0215e-08,57904,0.028959,-0.25654,0.87877
703570000000.0,92950000.0,187970000000.0,9.1391e-09,57905,0.028432,-0.25651,0.88135
697780000000.0,92070000.0,187250000000.0,8.1776e-09,57906,0.027007,-0.2564,0.88317
633500000000.0,82311000.0,180090000000.0,1.8283e-08,57907,0.0179,-0.25741,0.87591
665550000000.0,87606000.0,182740000000.0,4.9719e-09,57908,0.016844,-0.25587,0.88887
655760000000.0,86159000.0,181530000000.0,7.0197e-09,57909,0.013901,-0.25603,0.88949
649070000000.0,85016000.0,180990000000.0,9.1103e-09,57910,0.015346,-0.25622,0.88561
636860000000.0,83261000.0,179330000000.0,9.3465e-09,57911,0.011502,-0.25632,0.88691
631810000000.0,82520000.0,178870000000.0,1.1701e-08,57912,0.012155,-0.25647,0.88289
659740000000.0,86532000.0,182480000000.0,7.4759e-09,57913,0.019394,-0.25608,0.88338
646080000000.0,84517000.0,180810000000.0,8.3985e-09,57914,0.0162,-0.25633,0.88227
668830000000.0,88036000.0,183240000000.0,5.2804e-09,57915,0.018937,-0.25586,0.88684
618510000000.0,80428000.0,177540000000.0,1.3012e-08,57916,0.01101,-0.25714,0.8758
622400000000.0,80970000.0,178170000000.0,1.5313e-08,57917,0.0128,-0.25713,0.87301
623240000000.0,80947000.0,178490000000.0,1.5907e-08,57918,0.014289,-0.25731,0.876
626360000000.0,81324000.0,179160000000.0,1.6671e-08,57919,0.016215,-0.25732,0.87284
652150000000.0,85361000.0,181740000000.0,8.0778e-09,57920,0.019016,-0.25624,0.87954
615490000000.0,79944000.0,175800000000.0,1.6409e-08,57930,-0.0040648,-0.25728,0.89033
602220000000.0,77964000.0,174100000000.0,1.545e-08,57931,-0.0054001,-0.25747,0.88755
631780000000.0,82369000.0,177830000000.0,1.8451e-08,57932,-0.0024495,-0.25711,0.89324
628450000000.0,81916000.0,177260000000.0,1.534e-08,57933,-0.0061397,-0.25698,0.89268
613230000000.0,79628000.0,175360000000.0,1.5563e-08,57934,-0.0077081,-0.25721,0.88948
612530000000.0,79523000.0,175160000000.0,1.988e-08,57935,-0.011201,-0.25736,0.88846
598760000000.0,77448000.0,173540000000.0,2.7743e-08,57936,-0.0086162,-0.25774,0.88539
595500000000.0,77037000.0,173290000000.0,2.6415e-08,57937,-0.0072525,-0.25766,0.88181
631340000000.0,82395000.0,177530000000.0,1.5313e-08,57938,-0.0097995,-0.25688,0.89228
670240000000.0,88349000.0,182210000000.0,1.8065e-08,57939,-0.0062556,-0.25786,0.89826
633450000000.0,82068000.0,181100000000.0,3.3885e-08,58000,0.019401,-0.2592,0.86765
656480000000.0,85414000.0,184370000000.0,2.8227e-08,58005,0.023044,-0.25915,0.8632
614780000000.0,79793000.0,176760000000.0,1.3216e-08,58007,0.007918,-0.25835,0.87195
618150000000.0,80450000.0,176760000000.0,1.3332e-08,58008,0.0057596,-0.25689,0.87582
669980000000.0,88226000.0,182240000000.0,2.5431e-08,58708,-0.028131,-0.25884,0.8849
