element,isotope,state,cooling time,isotope % dose,pathway,pathway % dose,Scenario,Spectrum,Material,Dose threshold
Na,24,,24 h,99.95901296,"Al27 -(n,a)-> Na24",98.53059867,DT1,500MW_First_Wall,Al-6061,99
Na,24,,24 h,99.95901296,"Mg24 -(n,p)-> Na24",1.421417164,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,11.6 d,45.85802117,"Mn55 -(n,2n)-> Mn54",39.53511721,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,11.6 d,17.53756777,"Zn66 -(n,2n)-> Zn65",11.02920099,DT1,500MW_First_Wall,Al-6061,99
Na,24,,11.6 d,11.01703737,"Al27 -(n,a)-> Na24",10.8596039,DT1,500MW_First_Wall,Al-6061,99
Sc,48,,11.6 d,6.970974831,"Ti48 -(n,p)-> Sc48",6.956266075,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,11.6 d,17.53756777,"Zn64 -(n,g)-> Zn65",6.514680298,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti46 -(n,p)-> Sc46",6.510751589,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,11.6 d,45.85802117,"Fe54 -(n,p)-> Mn54",6.335285624,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,11.6 d,4.016297483,"Cr52 -(n,2n)-> Cr51",3.286415742,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",2.430574339,DT1,500MW_First_Wall,Al-6061,99
Co,60,,11.6 d,3.778177079,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",2.078941938,DT1,500MW_First_Wall,Al-6061,99
Co,60,,11.6 d,3.778177079,"Cu63 -(n,a)-> Co60",1.69942405,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti47 -(n,np)-> Sc46",0.901504007,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,11.6 d,4.016297483,"Cr50 -(n,g)-> Cr51",0.582282809,DT1,500MW_First_Wall,Al-6061,99
Na,24,,11.6 d,11.01703737,"Mg24 -(n,p)-> Na24",0.156662271,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,11.6 d,4.016297483,"Fe54 -(n,a)-> Cr51",0.15647495,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.12860129,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,30 d,57.93009703,"Mn55 -(n,2n)-> Mn54",49.94269525,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,30 d,21.90791947,"Zn66 -(n,2n)-> Zn65",13.77767148,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,30 d,21.90791947,"Zn64 -(n,g)-> Zn65",8.138134846,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,30 d,57.93009703,"Fe54 -(n,p)-> Mn54",8.003042904,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,30 d,11.2595423,"Ti46 -(n,p)-> Sc46",7.359236849,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,30 d,11.2595423,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",2.747328322,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,30 d,3.337901894,"Cr52 -(n,2n)-> Cr51",2.731304982,DT1,500MW_First_Wall,Al-6061,99
Co,60,,30 d,4.938945603,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",2.717654818,DT1,500MW_First_Wall,Al-6061,99
Co,60,,30 d,4.938945603,"Cu63 -(n,a)-> Co60",2.221537732,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,30 d,11.2595423,"Ti47 -(n,np)-> Sc46",1.018988578,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,30 d,3.337901894,"Cr50 -(n,g)-> Cr51",0.483929017,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,30 d,11.2595423,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.145360691,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,30 d,3.337901894,"Fe54 -(n,a)-> Cr51",0.130044658,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,180 d,64.93318259,"Mn55 -(n,2n)-> Mn54",55.98019537,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,180 d,22.37131913,"Zn66 -(n,2n)-> Zn65",14.06909889,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,180 d,64.93318259,"Fe54 -(n,p)-> Mn54",8.970519175,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,180 d,22.37131913,"Zn64 -(n,g)-> Zn65",8.310273918,DT1,500MW_First_Wall,Al-6061,99
Co,60,,180 d,7.318255547,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",4.026870115,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,180 d,5.084390712,"Ti46 -(n,p)-> Sc46",3.323157769,DT1,500MW_First_Wall,Al-6061,99
Co,60,,180 d,7.318255547,"Cu63 -(n,a)-> Co60",3.291751345,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,180 d,5.084390712,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",1.240591334,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,180 d,5.084390712,"Ti47 -(n,np)-> Sc46",0.460137359,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,180 d,5.084390712,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.065639484,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,230 d,65.87151649,"Mn55 -(n,2n)-> Mn54",56.7891518,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,230 d,21.99729068,"Zn66 -(n,2n)-> Zn65",13.83387614,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,230 d,65.87151649,"Fe54 -(n,p)-> Mn54",9.100150004,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,230 d,21.99729068,"Zn64 -(n,g)-> Zn65",8.171333569,DT1,500MW_First_Wall,Al-6061,99
Co,60,,230 d,8.147144696,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",4.482966369,DT1,500MW_First_Wall,Al-6061,99
Co,60,,230 d,8.147144696,"Cu63 -(n,a)-> Co60",3.664585684,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,230 d,3.804623992,"Ti46 -(n,p)-> Sc46",2.486702241,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,230 d,3.804623992,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.928328254,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,230 d,3.804623992,"Ti47 -(n,np)-> Sc46",0.344318471,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,230 d,3.804623992,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.049117696,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,1 y,66.97022385,"Mn55 -(n,2n)-> Mn54",57.73636939,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,1 y,20.55490267,"Zn66 -(n,2n)-> Zn65",12.92677274,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,1 y,66.97022385,"Fe54 -(n,p)-> Mn54",9.251936425,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,1 y,20.55490267,"Zn64 -(n,g)-> Zn65",7.635529695,DT1,500MW_First_Wall,Al-6061,99
Co,60,,1 y,10.64915514,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",5.859697616,DT1,500MW_First_Wall,Al-6061,99
Co,60,,1 y,10.64915514,"Cu63 -(n,a)-> Co60",4.789989982,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,1 y,1.688869592,"Ti46 -(n,p)-> Sc46",1.103845165,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,1 y,1.688869592,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.41208418,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,1 y,1.688869592,"Ti47 -(n,np)-> Sc46",0.152842698,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,1 y,1.688869592,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.021803306,DT1,500MW_First_Wall,Al-6061,99
Co,60,,10 y,97.40149541,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",53.59517285,DT1,500MW_First_Wall,Al-6061,99
Co,60,,10 y,97.40149541,"Cu63 -(n,a)-> Co60",43.81119264,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,10 y,1.383776896,"Mn55 -(n,2n)-> Mn54",1.192981738,DT1,500MW_First_Wall,Al-6061,99
Al,26,,10 y,0.852168189,"Al27 -(n,2n)-> Al26",0.852168189,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,10 y,1.383776896,"Fe54 -(n,p)-> Mn54",0.191168778,DT1,500MW_First_Wall,Al-6061,99
Na,24,,24 h,67.80487931,"Al27 -(n,a)-> Na24",67.80352321,DT1,500MW_First_Wall,Al-Brz,99
Cu,64,,24 h,28.97236453,"Cu63 -(n,g)-> Cu64",16.35982508,DT1,500MW_First_Wall,Al-Brz,99
Cu,64,,24 h,28.97236453,"Cu65 -(n,2n)-> Cu64",12.61051139,DT1,500MW_First_Wall,Al-Brz,99
Ni,57,,24 h,1.206364535,"Ni58 -(n,2n)-> Ni57",1.206352472,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,24 h,1.093247427,"Ni58 -(n,p)-> Co58",0.600805056,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,24 h,1.093247427,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",0.46734141,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,24 h,1.093247427,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.013446943,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,24 h,1.093247427,"Co59 -(n,2n)-> Co58",0.009248873,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,11.6 d,56.74506593,"Ni58 -(n,p)-> Co58",31.18481843,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,11.6 d,56.74506593,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",24.25738079,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",11.74409584,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Cu63 -(n,a)-> Co60",9.599970428,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,11.6 d,9.927588458,"Mn55 -(n,2n)-> Mn54",8.715628459,DT1,500MW_First_Wall,Al-Brz,99
Nb,92,m,11.6 d,2.402991254,"Nb93 -(n,2n)-> Nb92m",2.402967224,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Co59 -(n,g)-> Co60m -(IT)-> Co60",1.810091048,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,11.6 d,2.45708747,"Ta181 -(n,g)-> Ta182",1.54946393,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,11.6 d,9.927588458,"Fe54 -(n,p)-> Mn54",1.202032411,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,11.6 d,1.183401375,"Ni58 -(n,np)-> Co57",1.152325255,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Co59 -(n,g)-> Co60",1.09512202,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",1.055777879,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,11.6 d,2.45708747,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.90366763,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,11.6 d,26.05572258,"Ni60 -(n,p)-> Co60",0.741285307,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,11.6 d,56.74506593,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.697964311,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,11.6 d,56.74506593,"Co59 -(n,2n)-> Co58",0.480063258,DT1,500MW_First_Wall,Al-Brz,99
Fe,59,,11.6 d,0.531635233,"Ni62 -(n,a)-> Fe59",0.259804822,DT1,500MW_First_Wall,Al-Brz,99
Fe,59,,11.6 d,0.531635233,"Co59 -(n,p)-> Fe59",0.165726651,DT1,500MW_First_Wall,Al-Brz,99
Fe,59,,11.6 d,0.531635233,"Fe58 -(n,g)-> Fe59",0.104173924,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,11.6 d,1.183401375,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.030484419,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,30 d,54.28865645,"Ni58 -(n,p)-> Co58",29.83487404,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,30 d,54.28865645,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",23.20731486,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",13.3571654,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Cu63 -(n,a)-> Co60",10.91854108,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,30 d,10.9089873,"Mn55 -(n,2n)-> Mn54",9.57721813,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Co59 -(n,g)-> Co60m -(IT)-> Co60",2.058709827,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,30 d,2.517097187,"Ta181 -(n,g)-> Ta182",1.587306657,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,30 d,10.9089873,"Fe54 -(n,p)-> Mn54",1.320860182,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,30 d,1.292932833,"Ni58 -(n,np)-> Co57",1.258980417,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Co59 -(n,g)-> Co60",1.245538708,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",1.200790589,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,30 d,2.517097187,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.925738003,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,30 d,29.63451601,"Ni60 -(n,p)-> Co60",0.84310198,DT1,500MW_First_Wall,Al-Brz,99
Nb,92,m,30 d,0.782935541,"Nb93 -(n,2n)-> Nb92m",0.782927712,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,30 d,54.28865645,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.667750474,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,30 d,54.28865645,"Co59 -(n,2n)-> Co58",0.459282034,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,30 d,1.292932833,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.03330595,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",25.10666092,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Cu63 -(n,a)-> Co60",20.52292536,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,180 d,24.82151191,"Ni58 -(n,p)-> Co58",13.64091009,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,180 d,15.51662284,"Mn55 -(n,2n)-> Mn54",13.62235353,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,180 d,24.82151191,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",10.61069991,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Co59 -(n,g)-> Co60m -(IT)-> Co60",3.869633115,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Co59 -(n,g)-> Co60",2.341164241,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.257053891,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,180 d,15.51662284,"Fe54 -(n,p)-> Mn54",1.878752694,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,180 d,1.749963199,"Ni58 -(n,np)-> Co57",1.704009165,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,180 d,55.70221843,"Ni60 -(n,p)-> Co60",1.584728114,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,180 d,2.017754178,"Ta181 -(n,g)-> Ta182",1.272415962,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,180 d,2.017754178,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.742089631,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,180 d,24.82151191,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.305304597,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,180 d,24.82151191,"Co59 -(n,2n)-> Co58",0.209989991,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,180 d,1.749963199,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.045079052,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",28.35565785,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Cu63 -(n,a)-> Co60",23.17875131,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,230 d,15.96149764,"Mn55 -(n,2n)-> Mn54",14.012918,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,230 d,17.49138477,"Ni58 -(n,p)-> Co58",9.612565415,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,230 d,17.49138477,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",7.477217162,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Co59 -(n,g)-> Co60m -(IT)-> Co60",4.370393696,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Co59 -(n,g)-> Co60",2.644129078,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.549134196,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,230 d,15.96149764,"Fe54 -(n,p)-> Mn54",1.932618134,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,230 d,62.91051815,"Ni60 -(n,p)-> Co60",1.789804242,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,230 d,1.770576386,"Ni58 -(n,np)-> Co57",1.72408105,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,230 d,1.715032713,"Ta181 -(n,g)-> Ta182",1.081516779,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,230 d,1.715032713,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.630754731,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,230 d,17.49138477,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.215144033,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,230 d,17.49138477,"Co59 -(n,2n)-> Co58",0.147977115,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,230 d,1.770576386,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.045610048,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",34.40851782,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Cu63 -(n,a)-> Co60",28.12653763,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,1 y,15.05933547,"Mn55 -(n,2n)-> Mn54",13.2208918,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Co59 -(n,g)-> Co60m -(IT)-> Co60",5.303307374,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,1 y,5.934346543,"Ni58 -(n,p)-> Co58",3.261279486,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Co59 -(n,g)-> Co60",3.208550582,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",3.093277887,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,1 y,5.934346543,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",2.53681446,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,1 y,76.33953324,"Ni60 -(n,p)-> Co60",2.171859721,DT1,500MW_First_Wall,Al-Brz,99
Mn,54,,1 y,15.05933547,"Fe54 -(n,p)-> Mn54",1.823384339,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,1 y,1.597804184,"Ni58 -(n,np)-> Co57",1.555845846,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,1 y,0.964641687,"Ta181 -(n,g)-> Ta182",0.608312694,DT1,500MW_First_Wall,Al-Brz,99
Ta,182,,1 y,0.964641687,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.35477592,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,1 y,5.934346543,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.072992462,DT1,500MW_First_Wall,Al-Brz,99
Co,58,,1 y,5.934346543,"Co59 -(n,2n)-> Co58",0.050204572,DT1,500MW_First_Wall,Al-Brz,99
Co,57,,1 y,1.597804184,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.041159436,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",45.04488432,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Cu63 -(n,a)-> Co60",36.82101742,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Co59 -(n,g)-> Co60m -(IT)-> Co60",6.942666594,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Co59 -(n,g)-> Co60",4.200378249,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",4.04947244,DT1,500MW_First_Wall,Al-Brz,99
Co,60,,10 y,99.93762191,"Ni60 -(n,p)-> Co60",2.843225343,DT1,500MW_First_Wall,Al-Brz,99
Na,24,,24 h,96.27247313,"Mg24 -(n,p)-> Na24",55.87750613,DT1,500MW_First_Wall,Beryllium,99
Na,24,,24 h,96.27247313,"Al27 -(n,a)-> Na24",39.8462139,DT1,500MW_First_Wall,Beryllium,99
W,187,,24 h,0.92870619,"W186 -(n,g)-> W187",0.928687615,DT1,500MW_First_Wall,Beryllium,99
Sc,48,,24 h,0.846494714,"Ti48 -(n,p)-> Sc48",0.84470861,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,24 h,0.424608099,"Ta181 -(n,g)-> Ta182",0.267486118,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,24 h,0.431355109,"Zr90 -(n,2n)-> Zr89 -(b+)-> Y89m",0.265240257,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,24 h,0.424608099,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.156001015,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,24 h,0.431355109,"Zr90 -(n,np)-> Y89m",0.123854993,DT1,500MW_First_Wall,Beryllium,99
Co,58,,24 h,0.239944114,"Ni58 -(n,p)-> Co58",0.120120823,DT1,500MW_First_Wall,Beryllium,99
Co,58,,24 h,0.239944114,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",0.093436638,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,24 h,0.431355109,"Zr90 -(n,2n)-> Zr89m -(IT)-> Zr89 -(b+)-> Y89m",0.039852899,DT1,500MW_First_Wall,Beryllium,99
Co,58,,24 h,0.239944114,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.015214856,DT1,500MW_First_Wall,Beryllium,99
Co,58,,24 h,0.239944114,"Co59 -(n,2n)-> Co58",0.010468762,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,11.6 d,44.32797187,"Ta181 -(n,g)-> Ta182",27.92484916,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,11.6 d,44.32797187,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",16.28609687,DT1,500MW_First_Wall,Beryllium,99
Co,58,,11.6 d,24.30624166,"Ni58 -(n,p)-> Co58",12.1681907,DT1,500MW_First_Wall,Beryllium,99
Co,58,,11.6 d,24.30624166,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",9.465093564,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,11.6 d,6.783283952,"Fe54 -(n,p)-> Mn54",4.389734376,DT1,500MW_First_Wall,Beryllium,99
Co,60,,11.6 d,7.004135057,"Co59 -(n,g)-> Co60m -(IT)-> Co60",3.849682751,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,11.6 d,5.067586364,"Zr90 -(n,2n)-> Zr89 -(b+)-> Y89m",3.116058855,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,11.6 d,6.783283952,"Mn55 -(n,2n)-> Mn54",2.387241121,DT1,500MW_First_Wall,Beryllium,99
Co,60,,11.6 d,7.004135057,"Co59 -(n,g)-> Co60",2.328734824,DT1,500MW_First_Wall,Beryllium,99
Sc,48,,11.6 d,1.664586332,"Ti48 -(n,p)-> Sc48",1.661074054,DT1,500MW_First_Wall,Beryllium,99
Co,57,,11.6 d,1.600224009,"Ni58 -(n,np)-> Co57",1.557978096,DT1,500MW_First_Wall,Beryllium,99
Co,58,,11.6 d,24.30624166,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",1.541258784,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,11.6 d,2.35553479,"Ti46 -(n,p)-> Sc46",1.534042032,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,11.6 d,5.067586364,"Zr90 -(n,np)-> Y89m",1.455056073,DT1,500MW_First_Wall,Beryllium,99
Zr,89,,11.6 d,1.453200274,"Zr90 -(n,2n)-> Zr89",1.2555941,DT1,500MW_First_Wall,Beryllium,99
Co,58,,11.6 d,24.30624166,"Co59 -(n,2n)-> Co58",1.060481324,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,11.6 d,0.925681633,"Fe56 -(n,2n)-> Fe55",0.882970683,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,11.6 d,2.35553479,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.572677618,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,11.6 d,0.707985544,"Zr96 -(n,2n)-> Zr95",0.572569149,DT1,500MW_First_Wall,Beryllium,99
Y,89,m,11.6 d,5.067586364,"Zr90 -(n,2n)-> Zr89m -(IT)-> Zr89 -(b+)-> Y89m",0.468194304,DT1,500MW_First_Wall,Beryllium,99
W,181,,11.6 d,0.442522515,"W182 -(n,2n)-> W181",0.42443662,DT1,500MW_First_Wall,Beryllium,99
Co,60,,11.6 d,7.004135057,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.396644168,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,11.6 d,0.646147234,"Cr52 -(n,2n)-> Cr51",0.387016347,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,11.6 d,0.821566112,"Fe58 -(n,g)-> Fe59",0.369392555,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,11.6 d,0.821566112,"Co59 -(n,p)-> Fe59",0.352583313,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95",0.295606363,DT1,500MW_First_Wall,Beryllium,99
